year,hofID,name,category
1959,mikange01,George Mikan,Player
1960,macaued01,Ed Macauley,Player
1960,woodejo01,John Wooden,Player
1961,phillan01,Andy Phillip,Player
1962,thompjo01,John Thompson,Player
1964,russejo01,John Russell,Player
1966,lapchjo01,Joe Lapchick,Player
1969,dehnedu01,Dutch Dehnert,Player
1970,daviebo01,Bob Davies,Player
1971,cousybo01,Bob Cousy,Player
1971,pettibo01,Bob Pettit,Player
1973,schaydo01,Dolph Schayes,Player
1975,russebi01,Bill Russell,Player
1976,sharmbi01,Bill Sharman,Player
1976,golato01,Tom Gola,Player
1977,bayloel01,Elgin Baylor,Player
1978,hagancl01,Cliff Hagan,Player
1978,pollaji01,Jim Pollard,Player
1978,fulksjo01,Joe Fulks,Player
1978,arizipa01,Paul Arizin,Player
1979,chambwi01,Wilt Chamberlain,Player
1980,lucasje01,Jerry Lucas,Player
1980,westje01,Jerry West,Player
1980,roberos01,Oscar Robertson,Player
1982,ramsefr01,Frank Ramsey,Player
1982,greerha01,Hal Greer,Player
1982,martisl01,Slater Martin,Player
1982,reedwi01,Willis Reed,Player
1983,bradlbi01,Bill Bradley,Player
1983,debusda01,Dave DeBusschere,Player
1983,twymaja01,Jack Twyman,Player
1984,havlijo01,John Havlicek,Player
1984,jonessa01,Sam Jones,Player
1985,cervial01,Al Cervi,Player
1985,thurmna01,Nate Thurmond,Player
1986,cunnibi01,Billy Cunningham,Player
1986,heinsto01,Tom Heinsohn,Player
1987,houbrbo01,Bob Houbregs,Player
1987,wanzebo01,Bobby Wanzer,Player
1987,maravpe01,Pete Maravich,Player
1987,barryri01,Rick Barry,Player
1987,fraziwa01,Walt Frazier,Player
1988,mcderbo01,Bob McDermott,Player
1988,lovelcl01,Clyde Lovellette,Player
1988,unselwe01,Wes Unseld,Player
1989,joneskc01,K.C. Jones,Player
1989,wilkele01,Lenny Wilkens,Player
1990,bingda01,Dave Bing,Player
1990,monroea01,Earl Monroe,Player
1990,hayesel01,Elvin Hayes,Player
1990,johnsne01,Neil Johnston,Player
1991,cowenda01,Dave Cowens,Player
1991,gallaha01,Harry Gallatin,Player
1991,archina01,Tiny Archibald,Player
1992,laniebo01,Bob Lanier,Player
1992,hawkico01,Connie Hawkins,Player
1993,waltobi01,Bill Walton,Player
1993,murphca01,Calvin Murphy,Player
1993,isselda01,Dan Issel,Player
1993,mcguidi01,Dick McGuire,Player
1993,ervinju01,Julius Erving,Player
1993,bellawa01,Walt Bellamy,Player
1994,jeannbu01,Buddy Jeannette,Player
1995,abdulka01,Kareem Abdul-Jabbar,Player
1995,mikkeve01,Vern Mikkelsen,Player
1996,thompda01,David Thompson,Player
1996,goodrga01,Gail Goodrich,Player
1996,gervige01,George Gervin,Player
1996,yardlge01,George Yardley,Player
1997,englial01,Alex English,Player
1997,howelba01,Bailey Howell,Player
1998,risenar01,Arnie Risen,Player
1998,birdla01,Larry Bird,Player
1999,mchalke01,Kevin McHale,Player
2000,mcadobo01,Bob McAdoo,Player
2000,thomais01,Isiah Thomas,Player
2001,malonmo01,Moses Malone,Player
2002,petrodr01,Drazen Petrovic,Player
2002,johnsma02,Magic Johnson,Player
2003,worthja01,James Worthy,Player
2003,parisro01,Robert Parish,Player
2004,drexlcl01,Clyde Drexler,Player
2004,stokema01,Maurice Stokes,Player
2006,barklch01,Charles Barkley,Player
2006,wilkido01,Dominique Wilkins,Player
2006,dumarjo01,Joe Dumars,Player
2008,dantlad01,Adrian Dantley,Player
2008,olajuha01,Hakeem Olajuwon,Player
2008,ewingpa01,Patrick Ewing,Player
2009,robinda01,David Robinson,Player
2009,stockjo01,John Stockton,Player
2009,jordami01,Michael Jordan,Player
2010,johnsde01,Dennis Johnson,Player
2010,johnsgu01,Gus Johnson,Player
2010,malonka01,Karl Malone,Player
2010,pippesc01,Scottie Pippen,Player
2011,gilmoar01,Artis Gilmore,Player
2011,sabonar01,Arvydas Sabonis,Player
2011,mullich01,Chris Mullin,Player
2011,rodmade01,Dennis Rodman,Player
2012,walkech01,Chet Walker,Player
2012,wilkeja01,Jamaal Wilkes,Player
2012,danieme01,Mel Daniels,Player
2012,sampsra01,Ralph Sampson,Player
2012,millere01,Reggie Miller,Player
